fileName,bytesIn,bytesOut,duration,sizeDecrease,inputBytesPerSecond,outputBytesPerSecond
data-1000000.wav,1000000000,270585728,38.759758737s,-72.94%,26 MB/s,7.1 MB/s
data-10000000.wav,1000000000,264554528,39.852494298s,-73.54%,26 MB/s,6.8 MB/s
data-1300000000.wav,1000000000,270469472,46.095781477s,-72.95%,22 MB/s,5.9 MB/s
data-145800000.wav,1000000000,257881744,41.374273984s,-74.21%,24 MB/s,6.3 MB/s
data-1559000000.wav,1000000000,281282480,40.107665106s,-71.87%,25 MB/s,7.0 MB/s
data-2200000000.wav,1000000000,287985728,39.273265937s,-71.20%,26 MB/s,7.4 MB/s
data-433000000.wav,1000000000,265368400,39.752964152s,-73.46%,26 MB/s,6.8 MB/s
data-5000000.wav,1000000000,267317408,40.144082874s,-73.27%,25 MB/s,6.7 MB/s
data-74000000.wav,1000000000,261038576,39.540442469s,-73.90%,26 MB/s,6.7 MB/s
data-790000000.wav,1000000000,300438208,36.574059503s,-69.96%,28 MB/s,8.3 MB/s
data-862000000.wav,1000000000,297823792,37.803245603s,-70.22%,27 MB/s,8.0 MB/s
data-95000000.wav,1000000000,279209152,38.999832591s,-72.08%,26 MB/s,7.3 MB/s
